Average trade price: 61367.776432, Total volume: 123.211817
Average trade price: 61363.204687, Total volume: 109.038580
Average trade price: 61359.999479, Total volume: 111.179243
Average trade price: 61356.795052, Total volume: 98.704577
Average trade price: 61352.218620, Total volume: 97.235625
Average trade price: 61351.641797, Total volume: 107.913624
Average trade price: 61354.491797, Total volume: 122.167428
Average trade price: 61357.233073, Total volume: 124.732124
Average trade price: 61359.370833, Total volume: 123.741796
Average trade price: 61357.944792, Total volume: 126.214408
Average trade price: 61353.123177, Total volume: 124.204824
Average trade price: 61347.099870, Total volume: 150.102925
Average trade price: 61339.403776, Total volume: 136.075961
Average trade price: 61332.197135, Total volume: 148.010180
Average trade price: 61324.491667, Total volume: 153.134497
Average trade price: 61316.711328, Total volume: 156.477979
Average trade price: 61309.464714, Total volume: 193.293028
Average trade price: 61299.540495, Total volume: 242.268997
Average trade price: 61287.892188, Total volume: 260.863821
Average trade price: 61278.142839, Total volume: 285.051992
Average trade price: 61266.120703, Total volume: 281.523024
Average trade price: 61251.924349, Total volume: 291.158699
Average trade price: 61242.041016, Total volume: 307.086766
Average trade price: 61231.510938, Total volume: 362.349260
Average trade price: 61222.383203, Total volume: 366.493254
Average trade price: 61220.737891, Total volume: 414.362688
Average trade price: 61216.861328, Total volume: 410.848706
Average trade price: 61214.351432, Total volume: 422.207366
Average trade price: 61211.664063, Total volume: 412.542476
Average trade price: 61210.823177, Total volume: 423.973413
Average trade price: 61208.904167, Total volume: 467.897040
Average trade price: 61204.913802, Total volume: 470.285525
Average trade price: 61205.746745, Total volume: 438.734890
Average trade price: 61209.373047, Total volume: 453.334756
Average trade price: 61211.234115, Total volume: 445.054712
Average trade price: 61212.558854, Total volume: 439.928697
Average trade price: 61213.955469, Total volume: 437.887603
Average trade price: 61211.621484, Total volume: 447.006614
Average trade price: 61208.825130, Total volume: 407.039958
Average trade price: 61211.021224, Total volume: 411.092602
Average trade price: 61211.369922, Total volume: 396.452141
Average trade price: 61213.210547, Total volume: 381.622848
Average trade price: 61215.185547, Total volume: 384.985751
Average trade price: 61216.279557, Total volume: 393.196961
Average trade price: 61211.703255, Total volume: 406.274323
Average trade price: 61204.809245, Total volume: 376.173249
Average trade price: 61199.061979, Total volume: 372.402008
Average trade price: 61193.470313, Total volume: 356.941727
Average trade price: 61185.507292, Total volume: 324.492391
Average trade price: 61174.499609, Total volume: 324.762105
Average trade price: 61162.579557, Total volume: 355.334839
Average trade price: 61148.522917, Total volume: 395.250939
Average trade price: 61131.798958, Total volume: 398.791249
Average trade price: 61112.591667, Total volume: 426.283978
Average trade price: 61090.025000, Total volume: 493.701921
Average trade price: 61070.544010, Total volume: 479.206304
Average trade price: 61050.351563, Total volume: 488.347721
Average trade price: 61032.529297, Total volume: 485.197071
Average trade price: 61016.565365, Total volume: 488.677506
Average trade price: 61004.568880, Total volume: 463.834164
Average trade price: 60994.917969, Total volume: 460.579708
Average trade price: 60983.799219, Total volume: 449.114804
Average trade price: 60966.491667, Total volume: 457.113933
Average trade price: 60952.095052, Total volume: 461.184578
Average trade price: 60943.483333, Total volume: 449.748182
Average trade price: 60933.848958, Total volume: 423.212587
Average trade price: 60922.400130, Total volume: 377.252176
Average trade price: 60914.363021, Total volume: 357.530648
Average trade price: 60911.041406, Total volume: 317.486307
Average trade price: 60906.832812, Total volume: 243.629591
Average trade price: 60895.372786, Total volume: 244.854345
Average trade price: 60886.096484, Total volume: 239.072580
Average trade price: 60868.327344, Total volume: 262.273636
Average trade price: 60846.129557, Total volume: 267.344971
Average trade price: 60820.726302, Total volume: 302.713147
Average trade price: 60795.288672, Total volume: 311.506482
Average trade price: 60773.204688, Total volume: 318.738358
